image_id,label
WEajVawh.png,jawi
qA1ZrD98.png,lampung
G4lDbpor.png,jawi
fDI0VO86.png,jawi
J9SshuHf.png,lontara
aZwZsKoj.png,lampung
5sibrN1x.png,jawa
OQTuij3P.png,pegon
ItQogqk5.jpg,jawi
ZqydnzgJ.png,pegon
PVjGocDm.png,pegon
VJtZBYhT.png,jawi
0CSBXH8E.png,jawi
Qs5gOQRU.png,pegon
3pEwqbyv.png,bali
LYSJlPHg.jpg,jawa
RuN8j9dn.png,lampung
r0elQ0IA.jpg,pegon
2vGITeza.png,lampung
8cP0TG9G.png,pegon
j6anMMkb.png,jawi
KTQSUrrc.jpg,jawi
m5VeP6bO.png,jawi
SnCZ4PQw.png,pegon
wBQ3yw10.png,jawi
AdpKUfiD.png,jawi
KEu2kTL0.jpg,sunda
vDh3sqrP.png,sunda
vlFWLeRt.jpg,lontara
i3o0uiBI.png,pegon
GzY7jkaJ.png,jawi
G3QE12Wa.png,jawa
OejnTLcZ.png,pegon
XSED2XWK.jpg,jawa
inXsqhEY.png,sunda
ndpkiGAu.jpg,pegon
bJbum0jm.png,jawa
vhJKwyt6.png,lampung
HC8195r5.jpg,bali
FsRveb1q.png,pegon
I9EOqAYR.png,sunda
1ylSINFk.png,jawa
os7DW2YN.png,sunda
lYmPrQa7.png,pegon
DouTwCmZ.jpg,lampung
JM5Rlwfw.png,pegon
4ONNN3sr.png,jawi
26WUdDnL.jpg,jawi
sXLZOJSp.jpg,jawa
TdLGEb6y.png,jawa
eJBz6Ijo.png,jawa
QfVxUOA8.png,jawa
xKDQ2khc.png,jawi
J0DSglN2.png,pegon
S9OQQwUs.png,pegon
Y3FTOh22.png,pegon
U8zdIIUJ.png,jawi
MXzGfFQm.jpg,pegon
TWwOlCLX.webp,jawi
aYPxmfJH.png,jawi
Z7BTkpZi.png,jawa
3ZJwNBAE.png,jawi
VjUX1UMA.jpg,jawa
Pe5YLNR7.png,lontara
yDpRmpun.jpg,pegon
7WFSRZdK.png,sunda
ih56UWvz.jpg,pegon
SkISLMsf.png,sunda
na92LGMz.png,lontara
1ZVk0eST.png,lampung
gdOOKVnw.png,lampung
ehzSl5Ig.png,lontara
fWSSeXCX.webp,pegon
zNfsepUJ.png,jawi
fkJRTTfO.png,pegon
pgSyyi4V.png,pegon
YZumQKNy.jpg,pegon
WiADA2MM.png,lontara
OZQEsgPy.png,lampung
HLdt1ZzI.png,lontara
9JSbMpTZ.jpg,pegon
dzq5cujj.jpg,pegon
OsqMdOFN.png,pegon
HgwXDSUQ.png,sunda
pTQL9HRj.png,jawi
3nLgwaxm.png,lampung
TXqX2mWJ.png,jawa
q0xsg3Dy.jpg,jawi
F9izBJpz.png,lampung
t82u4xu2.png,jawa
jg4VFZds.jpg,pegon
lUuephPg.jpg,lampung
OnWsj9bp.png,lampung
1c7Wpj98.png,pegon
WSBZPBmt.png,jawa
aQis1ndJ.jpg,lampung
zFNBzMgh.jpg,pegon
BKre5xTa.jpg,pegon
vE1lC5ua.jpg,jawi
F50UsMaR.webp,pegon
26z1ANyb.jpg,jawi
CnBToLjM.png,lontara
uNqqe0I4.png,sunda
WBPdHXL5.png,jawa
U7vvUNPB.png,lampung
wLoVkfTl.png,jawa
Eys3trgy.png,jawi
fGihSJCN.png,jawi
rHj8SiVp.png,pegon
Lm3wIDHm.png,pegon
m7bhJXyj.png,jawi
3BUyPwJk.png,jawa
UnwSaMS8.png,jawa
Fj83bcac.jpg,pegon
AvWpUyyu.png,pegon
FWqUTKFt.jpg,pegon
GtqK3cHR.jpg,jawa
nGSdmtoh.png,jawi
pVthZwP1.png,jawa
5eX664EA.png,pegon
ScnmEXLU.png,lontara
n6DUkpEY.png,jawi
xUGmT8fC.png,jawi
Xre8jQe3.webp,pegon
C6hR7VXO.png,lontara
8I2L3o6S.png,bali
SxoWWkm3.png,lontara
aq9Gx8p5.png,jawi
k5xdnWK8.png,lontara
hJmQnS4O.png,jawi
Dpu9hYWa.png,jawi
xQjZVApr.png,pegon
OqzKJN52.png,lampung
LvoCIxWk.png,sunda
jDvkwspJ.png,lontara
iSe2cw0a.png,pegon
5kT0KM0c.png,lampung
5K4PiZGI.png,pegon
AdLJqOB1.png,jawi
1RE1VcHj.jpg,pegon
Mgzl4MJw.png,jawi
H036HViM.jpg,pegon
n5DNTpPv.png,pegon
G53WDmJS.png,jawa
yuiAa6pM.jpg,jawa
8QbQfOFO.png,jawi
ErGST9sT.jpg,jawa
KLS2GwTM.png,jawa
PFdjl0p9.jpg,pegon
Pcz6TMby.png,pegon
ItKYqOPE.jpg,jawa
a9BmtPJb.jpg,lampung
EMRQOOsO.png,sunda
nQwYl20J.png,lontara
10YNnodr.png,jawi
x8yJPsGV.png,bali
y4Div1Ps.jpg,jawi
IwuTnbUj.png,jawa
6nRakZMt.png,bali
4PdmVIkP.png,pegon
4sMBUagD.png,sunda
lFWeSmNZ.png,pegon
mHeGx7ZL.png,jawa
xlXgf5c2.png,jawi
NtuvqiQ4.png,jawi
PbWauHfe.png,jawa
ipYw1jbF.jpg,pegon
emcWShUR.png,jawa
zpaJVslx.png,pegon
K3eaNag9.png,jawa
YBRfQm8i.jpg,lampung
TqNcmXGk.png,sunda
75FTutS8.png,pegon
svOhCBGO.png,sunda
Y43lbNxD.jpg,pegon
PHspQViJ.png,lampung
irfN8SvM.png,bali
6keS2q1W.png,lontara
iqjxUJyG.png,jawi
056AqPTe.jpg,pegon
tuQn2tFG.jpg,jawa
VCETFUEm.png,sunda
KbH41LGp.png,bali
uDeervHv.png,pegon
kOzZg1JG.jpg,pegon
VYOpwZqb.png,lampung
tFNYQUUg.png,pegon
ZjFyliaI.png,jawi
ikM06HcP.png,jawa
zLGulVUF.png,pegon
XBafp2ut.png,pegon
XziMPG8z.png,sunda
24T5SZRZ.png,jawa
Osd5jaCP.png,jawi
P8cAscCZ.png,lampung
jM8Jsl4A.png,lampung
s74sHDUk.png,sunda
0n7QAEVG.png,jawi
l7zErLnw.jpg,lampung
LPbJ8Xa9.png,jawa
uneupKp4.jpg,pegon
RQ3dXMka.png,sunda
gPxFUf2Q.png,lampung
gCeXTM6f.png,lampung
RCAhhZd5.png,lontara
EZsD6yU2.png,lampung
YwAccQRI.jpg,lampung
YUSbZwlL.png,pegon
etGskeZb.png,lampung
hLjOXcIt.png,lampung
XHfBbGro.png,jawa
qq4ruweS.png,lampung
88um4MLL.png,jawi
mh0dnpYt.png,jawi
EkcAINcb.jpg,pegon
t4WWJWrm.png,jawa
CnD6r3Nc.png,sunda
